cr_publisher,country_code,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
Elsevier BV,FI,2025,Hybrid,1176,854,791
Elsevier BV,IQ,2025,Hybrid,726,48,4
Elsevier BV,PL,2025,Hybrid,3311,953,43
Elsevier BV,ES,2025,Hybrid,8643,3337,147
Elsevier BV,GB,2025,Full OA,2701,2139,38
Elsevier BV,JO,2025,Hybrid,401,41,5
Elsevier BV,ET,2025,Hybrid,367,64,9
Elsevier BV,GR,2025,Hybrid,1128,473,9
Elsevier BV,CH,2025,Full OA,849,746,582
Elsevier BV,EC,2025,Full OA,113,104,4
Elsevier BV,MZ,2025,Full OA,17,10,1
Elsevier BV,EE,2025,Hybrid,241,46,8
Elsevier BV,GE,2025,Full OA,18,13,1
Elsevier BV,VE,2025,Full OA,8,6,0
Elsevier BV,UZ,2025,Full OA,31,22,0
Elsevier BV,MO,2025,Full OA,100,87,1
Elsevier BV,NA,2025,Hybrid,22,7,1
Elsevier BV,GW,2025,Hybrid,4,3,3
Elsevier BV,SS,2025,Hybrid,19,10,9
Elsevier BV,MZ,2025,Hybrid,30,9,5
Elsevier BV,BY,2025,Full OA,16,10,1
Elsevier BV,GF,2025,Full OA,4,4,3
Elsevier BV,MN,2025,Full OA,7,7,0
Elsevier BV,BO,2025,Hybrid,29,2,0
Elsevier BV,NG,2025,Full OA,464,317,5
Elsevier BV,PG,2025,Full OA,5,4,0
Elsevier BV,SO,2025,Hybrid,14,2,0
Elsevier BV,KZ,2025,Full OA,87,77,3
Elsevier BV,GL,2025,Hybrid,2,1,0
Elsevier BV,SJ,2025,Hybrid,2,2,2
Elsevier BV,GM,2025,Hybrid,13,5,3
Elsevier BV,GL,2025,Full OA,1,1,0
Elsevier BV,NC,2025,Hybrid,9,3,2
Elsevier BV,ZM,2025,Full OA,22,18,2
Elsevier BV,LV,2025,Full OA,43,41,1
Elsevier BV,MC,2025,Full OA,1,1,0
Elsevier BV,GW,2025,Full OA,1,1,0
Elsevier BV,UA,2025,Hybrid,523,82,16
