cr_publisher,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
Royal Society of Chemistry (RSC),2025,Hybrid,28170,6820,2531
Royal Society of Chemistry (RSC),2025,Full OA,8532,4950,361
Royal Society of Chemistry (RSC),2024,Hybrid,29506,6459,2992
Royal Society of Chemistry (RSC),2024,Full OA,8279,4654,285
Royal Society of Chemistry (RSC),2023,Hybrid,29029,4893,2233
Royal Society of Chemistry (RSC),2023,Full OA,7046,4408,118
Royal Society of Chemistry (RSC),2022,Hybrid,28415,3705,1982
Royal Society of Chemistry (RSC),2022,Full OA,6619,4727,90
Royal Society of Chemistry (RSC),2021,Hybrid,28679,3251,587
Royal Society of Chemistry (RSC),2021,Full OA,6798,5308,91
Royal Society of Chemistry (RSC),2020,Hybrid,30183,3024,0
Royal Society of Chemistry (RSC),2020,Full OA,7230,5737,0
Royal Society of Chemistry (RSC),2019,Hybrid,29517,2435,0
Royal Society of Chemistry (RSC),2019,Full OA,6198,5022,0
Royal Society of Chemistry (RSC),2018,Hybrid,28392,1978,0
Royal Society of Chemistry (RSC),2018,Full OA,5913,4803,0
Walter de Gruyter GmbH,2025,Hybrid,21131,6536,1041
Walter de Gruyter GmbH,2025,Full OA,9368,4849,97
Walter de Gruyter GmbH,2024,Full OA,10323,5445,107
Walter de Gruyter GmbH,2024,Hybrid,25177,8789,1230
Walter de Gruyter GmbH,2023,Hybrid,23371,7034,1104
Walter de Gruyter GmbH,2023,Full OA,10066,5183,94
Walter de Gruyter GmbH,2022,Full OA,9892,5007,85
Walter de Gruyter GmbH,2022,Hybrid,22157,4666,969
Walter de Gruyter GmbH,2021,Hybrid,23440,3798,500
Walter de Gruyter GmbH,2021,Full OA,9725,5004,72
Walter de Gruyter GmbH,2020,Hybrid,23275,2933,126
Walter de Gruyter GmbH,2020,Full OA,9906,5139,37
Walter de Gruyter GmbH,2019,Hybrid,23621,2117,4
Walter de Gruyter GmbH,2019,Full OA,8678,4370,0
Walter de Gruyter GmbH,2018,Hybrid,24335,1824,0
Walter de Gruyter GmbH,2018,Full OA,8536,4164,0
AIP Publishing,2025,Hybrid,27607,3895,1022
AIP Publishing,2025,Full OA,3119,2641,28
AIP Publishing,2024,Hybrid,32386,4093,1277
AIP Publishing,2024,Full OA,2933,2594,38
AIP Publishing,2023,Hybrid,34115,2374,1167
AIP Publishing,2023,Full OA,2318,2110,20
AIP Publishing,2022,Hybrid,22252,1726,889
AIP Publishing,2022,Full OA,1816,1750,0
AIP Publishing,2021,Hybrid,18410,1301,525
AIP Publishing,2021,Full OA,2065,1981,0
AIP Publishing,2020,Hybrid,21081,713,99
AIP Publishing,2020,Full OA,2005,1938,0
AIP Publishing,2019,Hybrid,19582,488,0
AIP Publishing,2019,Full OA,1955,1879,0
